# Format:
# section | text | source | effective_date
# Note: India transitioned to new criminal codes effective 2024-07-01 (BNS/BNSS/BSA).
# For incidents before 2024-07-01, IPC/CrPC/Evidence Act references may still be relevant historically.

Procedure - Chit Fund Fraud | Chit fund companies must be registered under the Chit Funds Act 1982. If a company disappears with your money, file FIR under Section 420 IPC (cheating), file a complaint with state Registrar of Chit Funds, and approach Economic Offences Wing (EOW) of police. | SaulGPT Legal Procedure Playbook | 2026-03-10
Section 5 Chit Funds Act 1982 | Compulsory registration of chit funds and adherence to regulatory requirements. Unregistered chit funds are illegal and promoters can be prosecuted. | India Code - Chit Funds Act 1982 | 1982-08-19

# ===========================
# RTI (Right to Information)
# ===========================
Procedure - RTI Application | Any citizen can file an RTI application to any government/public authority by paying Rs 10 fee (by court fee stamp, DD or cash). Online RTI can be filed at rtionline.gov.in for central government departments. Information must be provided within 30 days. | SaulGPT Legal Procedure Playbook | 2026-03-10
Procedure - RTI First Appeal | If RTI response is unsatisfactory or not received within 30 days, a First Appeal can be filed with the First Appellate Authority within 30 days of deadline/response. A Second Appeal or complaint can be made to the Information Commission if still unsatisfied. | SaulGPT Legal Procedure Playbook | 2026-03-10

# ===========================
# PROPERTY REGISTRATION FRAUD
# ===========================
Procedure - Fraudulent Property Sale | If someone attempts to sell your property using forged documents, immediately file an FIR for forgery and cheating, apply for a stay on registration with the Sub-Registrar, and file a civil suit for declaration that the transaction is void. | SaulGPT Legal Procedure Playbook | 2026-03-10
Section 17 Registration Act 1908 | Documents relating to immovable property above Rs 100 must be compulsorily registered. Non-registered documents cannot be used as evidence for property transactions. | India Code - Registration Act 1908 | 1909-01-01


